text,label
"Olá, preciso de uma atualização do suporte aberto sobre falha no login. Há previsão de resolução?",Produtivo
"Bom dia, segue em anexo o relatório solicitado para validação.",Produtivo
"Poderiam resetar minha senha? Não estou conseguindo acessar o sistema desde ontem.",Produtivo
"Favor encaminhar a segunda via da fatura de maio. Obrigado.",Produtivo
"Olá suporte, meu cadastro está bloqueado e preciso de ajuda para desbloquear.",Produtivo
"Boa tarde! Preciso de ajuda com meu login e senha",Produtivo
"O sistema parece fora do ar, vocês podem verificar?",Produtivo
"Tenho uma dúvida a respeito do site",Produtivo
"Não estou conseguindo realizar o pagamento",Produtivo
"Pode me passar um contato do suporte técnico que eu possa ligar",Produtivo
"Tenho uma dúvida referente ao meu boleto",Produtivo
"Poderia me encaminhar o boleto atualizado?",Produtivo
"Não estou conseguindo acessar meu extrato bancário, podem me ajudar?",Produtivo
"Segue em anexo o comprovante de renda solicitado para análise do meu financiamento.",Produtivo
"Qual a previsão para conclusão da análise de crédito solicitada na semana passada?",Produtivo
"Preciso atualizar meu endereço residencial cadastrado junto ao banco.",Produtivo
"O aplicativo fecha sozinho quando tento fazer uma transferência, poderiam verificar?",Produtivo
"Verifiquei uma cobrança indevida em minha fatura, favor revisar.",Produtivo
"O aplicativo está com instabilidade",Produtivo
"Feliz Natal e um próspero Ano Novo a todos!",Improdutivo
"Obrigado pelo excelente atendimento, era só isso mesmo.",Improdutivo
"Bom dia! Apenas passando para desejar uma ótima semana.",Improdutivo
"Obrigado, resolvido!",Improdutivo
"Parabéns pelo trabalho!",Improdutivo
"Temos uma oferta especial para você!",Improdutivo
"Promoção! Clique e aproveite esse desconto imperdivel",Improdutivo
"Tem uma condição pensada para o seu momento!",Improdutivo
"Atualização dos Termos de Uso",Improdutivo
"Um presente especial chegou para você.",Improdutivo
"Só passei para desejar um bom início de mês!",Improdutivo
"A sua chance é agora!",Improdutivo
"Seja bem vindo ao ...",Improdutivo
"Aproveite 30 dias grátis! Só comece a pagar no próximo mês!",Improdutivo
"Você pode participar de uma rápida pesquisa?",Improdutivo
"O que está achando de usar ...",Improdutivo
"Parabéns pelo novo aplicativo, ficou muito bonito.",Improdutivo
"Foi um prazer conhecer a equipe de vocês no evento da semana passada.",Improdutivo
"Recebemos sua mensagem, obrigado pelo contato.",Improdutivo
